Entity,Code,Year,CO2 mitigation curves to meet a 1.5C target
Start in 2005,,2039,8093564000
Start in 2005,,2040,7566980600
Start in 2005,,2041,7070872000
Start in 2005,,2042,6603911000
Start in 2005,,2043,6164773000
Start in 2005,,2044,5752143000
Start in 2005,,2045,5364725000
Start in 2005,,2046,5001249000
Start in 2005,,2047,4660475000
Start in 2005,,2048,4341199000
Start in 2005,,2049,4042254800
Start in 2005,,2050,3762517000
Start in 2005,,2051,3500902000
Start in 2005,,2052,3256369200
Start in 2005,,2053,3027923200
Start in 2005,,2054,2814613000
Start in 2005,,2055,2615531000
Start in 2005,,2056,2429814000
Start in 2005,,2057,2256640000
Start in 2005,,2058,2095231100
Start in 2005,,2059,1944847000
Start in 2005,,2060,1804790900
Start in 2005,,2061,1674402000
Start in 2005,,2062,1553056000
Start in 2005,,2063,1440166000
Start in 2005,,2064,1335178000
Start in 2005,,2065,1237569000
Start in 2005,,2066,1146849000
Start in 2005,,2067,1062558100
Start in 2005,,2068,984262000
Start in 2005,,2069,911556030
Start in 2005,,2070,844059000
Start in 2005,,2071,781413950
Start in 2005,,2072,723287000
Start in 2005,,2073,669366000
Start in 2005,,2074,619358000
Start in 2005,,2075,572990000
Start in 2005,,2076,530005980
Start in 2005,,2077,490169000
Start in 2005,,2078,453256000
Start in 2005,,2079,419059000
Start in 2005,,2080,387385020
Start in 2005,,2081,358053000
Start in 2005,,2082,330896000
Start in 2005,,2083,305756000
Start in 2005,,2084,282488000
Start in 2005,,2085,260957010
Start in 2005,,2086,241034990
Start in 2005,,2087,222607000
Start in 2005,,2088,205562000
Start in 2005,,2089,189800000
Start in 2005,,2090,175225010
Start in 2005,,2091,161751000
Start in 2005,,2092,149297000
Start in 2005,,2093,137786000
Start in 2005,,2094,127149000
Start in 2005,,2095,117321000
Start in 2005,,2096,108241000
Start in 2005,,2097,99853000
Start in 2005,,2098,92107000
Start in 2005,,2099,84953000
Start in 2005,,2100,78347000
Start in 2006,,2006,35569635000
Start in 2006,,2007,36487373000
Start in 2006,,2008,36926240000
Start in 2006,,2009,36967420000
Start in 2006,,2010,36681126000
Start in 2006,,2011,36127960000
Start in 2006,,2012,35360068000
Start in 2006,,2013,34422210000
Start in 2006,,2014,33352673000
Start in 2006,,2015,32184082000
Start in 2006,,2016,30944141000
Start in 2006,,2017,29656250000
Start in 2006,,2018,28340070000
Start in 2006,,2019,27012024000
Start in 2006,,2020,25685717000
Start in 2006,,2021,24372328000
Start in 2006,,2022,23080937000
Start in 2006,,2023,21818829000
Start in 2006,,2024,20591737000
Start in 2006,,2025,19404069000
Start in 2006,,2026,18259118000
Start in 2006,,2027,17159221000
Start in 2006,,2028,16105907000
Start in 2006,,2029,15100031000
Start in 2006,,2030,14141885000
Start in 2006,,2031,13231301000
Start in 2006,,2032,12367719000
Start in 2006,,2033,11550282000
Start in 2006,,2034,10777876000
Start in 2006,,2035,10049203000
Start in 2006,,2036,9362811000
Start in 2006,,2037,8717141000
Start in 2006,,2038,8110557700
Start in 2006,,2039,7541380000
Start in 2006,,2040,7007897000
Start in 2006,,2041,6508396000
Start in 2006,,2042,6041172000
Start in 2006,,2043,5604543000
Start in 2006,,2044,5196861000
Start in 2006,,2045,4816520000
Start in 2006,,2046,4461962000
Start in 2006,,2047,4131681800
Start in 2006,,2048,3824232200
Start in 2006,,2049,3538223000
Start in 2006,,2050,3272327000
Start in 2006,,2051,3025278200
Start in 2006,,2052,2795870000
Start in 2006,,2053,2582959900
Start in 2006,,2054,2385464000
Start in 2006,,2055,2202357000
Start in 2006,,2056,2032671000
Start in 2006,,2057,1875494000
Start in 2006,,2058,1729968000
Start in 2006,,2059,1595284000
Start in 2006,,2060,1470686000
Start in 2006,,2061,1355463000
Start in 2006,,2062,1248948000
Start in 2006,,2063,1150519900
Start in 2006,,2064,1059594050
Start in 2006,,2065,975628000
Start in 2006,,2066,898114050
Start in 2006,,2067,826577000
Start in 2006,,2068,760577000
Start in 2006,,2069,699702000
Start in 2006,,2070,643571000
Start in 2006,,2071,591826940
Start in 2006,,2072,544139970
Start in 2006,,2073,500203000
Start in 2006,,2074,459732000
Start in 2006,,2075,422461000
Start in 2006,,2076,388146020
Start in 2006,,2077,356559000
Start in 2006,,2078,327489000
Start in 2006,,2079,300742000
Start in 2006,,2080,276137000
Start in 2006,,2081,253506990
Start in 2006,,2082,232697000
Start in 2006,,2083,213565010
Start in 2006,,2084,195978990
Start in 2006,,2085,179817010
Start in 2006,,2086,164965010
Start in 2006,,2087,151320000
Start in 2006,,2088,138786000
Start in 2006,,2089,127275010
Start in 2006,,2090,116704000
Start in 2006,,2091,106998000
Start in 2006,,2092,98088000
Start in 2006,,2093,89910000
Start in 2006,,2094,82405000
Start in 2006,,2095,75517000
Start in 2006,,2096,69198000
Start in 2006,,2097,63401000
Start in 2006,,2098,58084000
Start in 2006,,2099,53207000
Start in 2006,,2100,48735000
Start in 2007,,2007,35809665000
Start in 2007,,2008,36516774000
Start in 2007,,2009,36768470000
Start in 2007,,2010,36644690000
Start in 2007,,2011,36214340000
Start in 2007,,2012,35536605000
Start in 2007,,2013,34662232000
Start in 2007,,2014,33634564000
Start in 2007,,2015,32490490000
Start in 2007,,2016,31261295000
Start in 2007,,2017,29973380000
Start in 2007,,2018,28648899000
Start in 2007,,2019,27306344000
Start in 2007,,2020,25961032000
Start in 2007,,2021,24625529000
Start in 2007,,2022,23310057000
Start in 2007,,2023,22022806000
Start in 2007,,2024,20770234000
Start in 2007,,2025,19557330000
Start in 2007,,2026,18387816000
Start in 2007,,2027,17264361000
Start in 2007,,2028,16188732000
Start in 2007,,2029,15161953000
Start in 2007,,2030,14184420000
Start in 2007,,2031,13256021000
Start in 2007,,2032,12376218000
Start in 2007,,2033,11544137000
Start in 2007,,2034,10758632000
Start in 2007,,2035,10018349000
Start in 2007,,2036,9321767000
Start in 2007,,2037,8667251000
Start in 2007,,2038,8053082600
Start in 2007,,2039,7477491700
Start in 2007,,2040,6938681300
Start in 2007,,2041,6434849000
Start in 2007,,2042,5964202000
Start in 2007,,2043,5524977000
Start in 2007,,2044,5115441700
Start in 2007,,2045,4733915600
Start in 2007,,2046,4378766000
Start in 2007,,2047,4048419000
Start in 2007,,2048,3741364000
Start in 2007,,2049,3456152000
Start in 2007,,2050,3191401000
Start in 2007,,2051,2945793000
Start in 2007,,2052,2718078000
Start in 2007,,2053,2507070000
Start in 2007,,2054,2311646000
Start in 2007,,2055,2130748900
