Entity,Code,Year,CO2 mitigation curves to meet a 2C target
Start in 2011,,2073,4613072000
Start in 2011,,2074,4386092000
Start in 2011,,2075,4169539000
Start in 2011,,2076,3962991000
Start in 2011,,2077,3766038800
Start in 2011,,2078,3578286800
Start in 2011,,2079,3399349000
Start in 2011,,2080,3228854000
Start in 2011,,2081,3066443000
Start in 2011,,2082,2911768000
Start in 2011,,2083,2764493000
Start in 2011,,2084,2624295000
Start in 2011,,2085,2490861800
Start in 2011,,2086,2363893000
Start in 2011,,2087,2243100000
Start in 2011,,2088,2128204200
Start in 2011,,2089,2018938100
Start in 2011,,2090,1915046000
Start in 2011,,2091,1816280000
Start in 2011,,2092,1722404000
Start in 2011,,2093,1633192000
Start in 2011,,2094,1548425000
Start in 2011,,2095,1467894000
Start in 2011,,2096,1391401100
Start in 2011,,2097,1318753900
Start in 2011,,2098,1249769000
Start in 2011,,2099,1184272000
Start in 2011,,2100,1122096000
Start in 2012,,2012,40171970000
Start in 2012,,2013,40939057000
Start in 2012,,2014,41430495000
Start in 2012,,2015,41679300000
Start in 2012,,2016,41715310000
Start in 2012,,2017,41565503000
Start in 2012,,2018,41254216000
Start in 2012,,2019,40803380000
Start in 2012,,2020,40232760000
Start in 2012,,2021,39560090000
Start in 2012,,2022,38801310000
Start in 2012,,2023,37970686000
Start in 2012,,2024,37080990000
Start in 2012,,2025,36143620000
Start in 2012,,2026,35168720000
Start in 2012,,2027,34165318000
Start in 2012,,2028,33141395000
Start in 2012,,2029,32104026000
Start in 2012,,2030,31059425000
Start in 2012,,2031,30013057000
Start in 2012,,2032,28969691000
Start in 2012,,2033,27933475000
Start in 2012,,2034,26908002000
Start in 2012,,2035,25896356000
Start in 2012,,2036,24901173000
Start in 2012,,2037,23924670000
Start in 2012,,2038,22968717000
Start in 2012,,2039,22034842000
Start in 2012,,2040,21124289000
Start in 2012,,2041,20238041000
Start in 2012,,2042,19376849000
Start in 2012,,2043,18541259000
Start in 2012,,2044,17731641000
Start in 2012,,2045,16948200000
Start in 2012,,2046,16191002000
Start in 2012,,2047,15459988000
Start in 2012,,2048,14755002000
Start in 2012,,2049,14075784000
Start in 2012,,2050,13422004000
Start in 2012,,2051,12793256000
Start in 2012,,2052,12189082000
Start in 2012,,2053,11608971000
Start in 2012,,2054,11052380000
Start in 2012,,2055,10518729000
Start in 2012,,2056,10007409000
Start in 2012,,2057,9517794000
Start in 2012,,2058,9049248000
Start in 2012,,2059,8601117000
Start in 2012,,2060,8172748000
Start in 2012,,2061,7763481000
Start in 2012,,2062,7372660000
Start in 2012,,2063,6999630000
Start in 2012,,2064,6643746000
Start in 2012,,2065,6304366000
Start in 2012,,2066,5980861400
Start in 2012,,2067,5672614000
Start in 2012,,2068,5379017700
Start in 2012,,2069,5099480000
Start in 2012,,2070,4833424000
Start in 2012,,2071,4580286000
Start in 2012,,2072,4339520000
Start in 2012,,2073,4110593800
Start in 2012,,2074,3892993000
Start in 2012,,2075,3686219000
Start in 2012,,2076,3489790000
Start in 2012,,2077,3303241000
Start in 2012,,2078,3126122000
Start in 2012,,2079,2958002200
Start in 2012,,2080,2798462000
Start in 2012,,2081,2647103000
Start in 2012,,2082,2503539200
Start in 2012,,2083,2367401000
Start in 2012,,2084,2238332200
Start in 2012,,2085,2115993000
Start in 2012,,2086,2000056000
Start in 2012,,2087,1890210000
Start in 2012,,2088,1786156000
Start in 2012,,2089,1687606000
Start in 2012,,2090,1594288000
Start in 2012,,2091,1505940000
Start in 2012,,2092,1422312100
Start in 2012,,2093,1343166000
Start in 2012,,2094,1268273900
Start in 2012,,2095,1197420000
Start in 2012,,2096,1130396000
Start in 2012,,2097,1067005060
Start in 2012,,2098,1007060030
Start in 2012,,2099,950381000
Start in 2012,,2100,896799040
Start in 2013,,2013,40523657000
Start in 2013,,2014,41245390000
Start in 2013,,2015,41683837000
Start in 2013,,2016,41874043000
Start in 2013,,2017,41847590000
Start in 2013,,2018,41632944000
Start in 2013,,2019,41255686000
Start in 2013,,2020,40738820000
Start in 2013,,2021,40102957000
Start in 2013,,2022,39366586000
Start in 2013,,2023,38546207000
Start in 2013,,2024,37656570000
Start in 2013,,2025,36710810000
Start in 2013,,2026,35720598000
Start in 2013,,2027,34696274000
Start in 2013,,2028,33646995000
Start in 2013,,2029,32580830000
Start in 2013,,2030,31504871000
